time cpu-1-0 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
117 0.26% 96.36% 100.06% 99.88% 103.09%
118 0.19% 92.67% 99.16% 99.47% 106.71%
119 0.14% 89.78% 99.72% 99.84% 108.94%
120 0.16% 96.30% 100.20% 100.71% 103.31%
121 0.16% 90.61% 99.77% 100.02% 107.49%
122 0.23% 95.65% 100.82% 99.87% 103.64%
123 0.18% 94.90% 98.29% 99.98% 106.63%
124 0.17% 92.56% 100.61% 99.99% 105.29%
125 0.15% 95.54% 99.09% 99.99% 103.90%
126 0.12% 95.32% 101.07% 99.99% 104.27%
127 0.10% 90.67% 99.23% 99.98% 107.49%
128 0.26% 95.28% 100.57% 98.62% 104.14%
129 0.26% 93.08% 99.55% 99.83% 105.75%
130 0.13% 91.82% 99.50% 100.91% 107.73%
131 0.98% 85.68% 100.82% 98.72% 110.43%
132 0.21% 80.54% 99.92% 100.24% 117.87%
133 0.23% 95.91% 99.35% 99.75% 102.96%
134 0.10% 96.13% 100.62% 100.17% 103.44%
135 0.21% 96.35% 100.18% 99.74% 102.91%
136 0.36% 93.90% 99.93% 100.00% 105.36%
137 0.24% 96.01% 100.05% 100.00% 103.61%
138 0.27% 98.15% 99.78% 100.01% 100.78%
139 0.11% 95.16% 100.04% 100.00% 104.54%
140 0.13% 96.35% 99.96% 99.02% 103.19%
141 0.19% 97.46% 100.01% 100.96% 101.53%
142 0.15% 96.59% 100.00% 100.02% 102.69%
143 0.22% 93.68% 100.06% 100.15% 105.66%
144 0.17% 96.54% 99.44% 99.80% 102.92%
145 0.17% 94.64% 100.36% 100.01% 104.98%
146 0.19% 96.34% 99.94% 99.78% 102.87%
147 0.17% 94.84% 99.94% 100.09% 104.61%
148 0.11% 95.68% 99.98% 100.01% 103.68%
149 0.28% 94.77% 100.03% 99.94% 105.58%
150 0.24% 96.15% 99.92% 100.06% 101.53%
151 0.12% 97.20% 99.67% 99.44% 102.33%
152 0.10% 97.04% 100.30% 100.40% 102.45%
153 0.20% 92.79% 99.92% 99.98% 106.57%
154 0.11% 97.98% 99.97% 100.01% 101.48%
155 0.16% 96.76% 99.17% 99.97% 102.71%
156 0.13% 92.65% 100.84% 100.00% 106.98%
157 0.16% 96.84% 100.01% 100.00% 102.74%
158 0.08% 97.06% 99.98% 100.01% 102.58%
159 0.13% 94.91% 99.99% 99.94% 104.59%
160 0.24% 93.52% 99.54% 100.00% 105.88%
161 0.15% 94.61% 99.59% 99.98% 104.84%
162 0.09% 95.49% 100.86% 99.92% 103.74%
163 0.11% 94.27% 98.73% 100.30% 105.08%
164 0.16% 96.79% 99.45% 100.15% 102.65%
165 0.09% 96.67% 100.38% 99.99% 102.94%
166 0.11% 96.22% 99.37% 100.01% 103.33%
167 0.13% 96.68% 100.54% 99.98% 102.65%
168 0.18% 97.14% 100.06% 100.01% 102.41%
169 0.11% 92.42% 99.69% 99.95% 107.06%
170 0.08% 94.39% 99.93% 99.27% 105.18%
171 0.22% 96.89% 100.28% 100.90% 102.65%
172 0.08% 88.27% 100.16% 99.78% 108.77%
173 0.14% 98.19% 99.27% 99.52% 102.23%
174 0.09% 96.89% 100.59% 100.44% 102.69%
175 0.14% 96.90% 100.00% 100.01% 102.59%
176 0.18% 92.28% 99.88% 99.99% 107.18%
177 0.13% 95.99% 99.82% 100.02% 103.53%
178 0.11% 95.12% 100.12% 100.00% 102.80%
179 0.28% 81.74% 100.47% 100.25% 118.21%
180 0.39% 91.48% 99.44% 99.54% 104.63%
181 0.46% 95.52% 100.09% 100.29% 104.29%
182 0.23% 92.12% 99.92% 100.31% 106.78%
183 0.08% 93.81% 99.94% 100.29% 105.39%
184 0.59% 97.72% 99.24% 98.39% 100.22%
185 0.07% 92.87% 99.73% 100.99% 105.87%
186 0.27% 90.92% 100.87% 99.83% 107.91%
187 0.06% 92.82% 99.62% 99.17% 107.84%
188 0.08% 90.21% 100.47% 100.93% 109.45%
189 0.07% 91.12% 99.26% 99.09% 107.09%
190 0.06% 95.06% 100.20% 100.63% 104.56%
191 0.05% 95.59% 100.51% 100.20% 104.97%
192 0.19% 95.90% 99.73% 100.00% 103.67%
193 0.12% 96.82% 99.34% 99.11% 102.70%
194 0.08% 95.31% 100.69% 100.80% 104.43%
195 0.07% 95.70% 100.21% 100.05% 103.88%
196 0.13% 96.08% 99.32% 99.66% 103.48%
197 0.10% 96.63% 100.65% 100.29% 103.01%
198 0.11% 93.73% 100.00% 100.01% 105.83%
199 0.12% 95.64% 99.85% 100.02% 104.01%
200 0.10% 95.14% 100.14% 100.07% 104.34%
^C
