time cpu-1-0 cpu-1-1024 cpu-1-1024 cpu-1-1024 cpu-1-1024 cpu-1-1024 cpu-1-1024
159 0.05 56.51 66.60 53.40 73.87 57.22 92.45
160 0.13 80.11 78.58 50.14 64.20 71.51 55.20
161 0.06 95.13 64.02 47.81 51.73 59.34 80.79
162 0.06 88.68 64.82 46.09 70.37 49.27 80.56
163 0.11 80.20 61.16 77.26 66.45 43.80 69.46
164 0.17 51.37 50.11 58.15 76.53 78.61 84.97
165 0.15 77.11 61.39 62.84 48.89 61.21 86.86
166 0.15 91.43 52.40 52.94 72.16 54.66 74.52
167 0.15 61.87 61.94 68.42 59.39 72.60 75.43
168 0.20 49.02 73.29 65.17 68.92 53.93 87.54
169 0.15 56.99 80.18 70.51 58.89 52.39 78.83
170 0.23 72.65 47.96 76.89 75.99 77.31 45.92
171 0.21 62.37 81.12 72.44 47.23 87.07 48.58
172 0.77 50.91 58.17 88.62 64.04 61.50 81.55
173 0.31 46.92 61.79 87.08 68.85 66.46 60.34
174 0.24 78.65 58.39 61.04 74.12 65.64 62.44
175 0.24 48.84 94.65 53.41 50.25 80.34 70.47
176 0.17 48.03 73.39 68.17 69.62 67.25 72.53
177 0.14 66.80 85.12 50.09 47.93 84.70 64.58
178 0.17 83.85 70.57 73.51 79.58 45.42 45.53
179 0.19 71.85 77.90 50.90 45.91 77.75 76.44
180 0.62 70.63 76.42 78.40 45.56 76.59 50.56
181 0.26 60.35 58.28 65.85 64.83 78.86 71.61
182 0.17 85.37 60.67 73.11 81.10 55.09 43.30
183 0.36 76.32 62.91 58.91 67.69 84.02 49.80
184 0.25 49.72 63.27 67.99 84.93 87.69 45.90
185 0.47 44.37 66.89 83.71 66.21 69.48 66.19
186 0.18 74.69 72.08 67.18 75.35 50.38 59.46
187 0.13 47.19 72.84 51.79 86.80 52.34 88.28
188 0.16 78.27 75.00 50.17 73.81 61.28 60.84
189 0.12 68.98 64.86 49.88 46.25 83.45 85.50
190 0.25 71.82 81.09 46.03 54.21 74.64 73.63
