time cpu-1-0 cpu-1-32 cpu-1-64 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
373 0.18% 13.83% 28.40% 55.64% 100.00% 99.98% 101.56%
374 0.17% 13.95% 27.55% 55.59% 100.46% 99.37% 102.27%
375 0.28% 14.53% 27.62% 54.96% 100.52% 100.99% 101.94%
376 0.47% 13.22% 27.23% 54.71% 99.29% 99.06% 103.19%
377 0.25% 13.66% 28.48% 54.37% 99.66% 100.78% 102.71%
378 0.33% 13.17% 25.43% 54.36% 99.99% 99.76% 106.07%
379 0.21% 10.11% 28.61% 56.45% 99.84% 100.33% 105.16%
380 0.48% 8.86% 29.14% 58.63% 98.90% 99.50% 102.12%
381 0.21% 9.60% 28.94% 57.83% 99.64% 99.48% 102.87%
382 0.43% 13.46% 27.79% 55.89% 99.95% 100.44% 102.03%
383 0.29% 13.99% 27.49% 54.19% 100.37% 99.64% 103.38%
384 0.13% 14.02% 28.20% 56.12% 100.20% 99.90% 101.27%
385 0.24% 13.56% 27.22% 54.75% 99.72% 99.96% 103.11%
386 0.18% 13.91% 27.49% 54.55% 100.32% 100.30% 102.98%
387 0.25% 13.70% 27.14% 55.15% 100.28% 100.66% 103.40%
388 0.31% 10.40% 21.79% 62.03% 90.74% 99.72% 112.64%
389 0.25% 9.81% 30.45% 60.02% 92.48% 99.37% 106.77%
390 0.26% 12.72% 26.74% 55.02% 100.24% 100.43% 104.83%
391 0.24% 14.09% 27.95% 54.79% 96.06% 99.32% 106.05%
392 0.27% 13.80% 28.28% 57.46% 89.97% 100.76% 109.82%
393 0.34% 14.16% 28.69% 56.36% 93.77% 99.19% 105.31%
394 0.48% 14.27% 28.07% 57.39% 94.09% 100.67% 105.41%
395 0.24% 14.76% 28.54% 56.38% 93.76% 99.68% 106.43%
396 0.42% 13.91% 28.95% 56.60% 86.32% 99.67% 112.62%
397 0.23% 13.98% 27.96% 57.68% 96.88% 100.34% 102.28%
398 0.10% 14.21% 28.58% 56.83% 96.50% 99.63% 103.36%
399 0.48% 14.88% 28.14% 57.07% 97.38% 100.80% 103.51%
400 0.22% 13.40% 28.20% 57.07% 92.86% 99.48% 105.43%
401 0.22% 14.43% 28.86% 56.39% 96.80% 100.24% 102.39%
402 0.14% 14.61% 28.64% 56.37% 95.52% 99.98% 104.08%
403 0.24% 14.14% 28.39% 57.15% 95.37% 99.16% 104.81%
404 0.29% 13.73% 28.64% 57.13% 93.24% 99.95% 106.38%
405 0.32% 14.92% 28.29% 56.46% 93.76% 99.97% 105.04%
406 0.24% 14.36% 28.29% 56.96% 96.71% 100.19% 102.76%
407 0.17% 14.15% 28.48% 57.19% 96.93% 99.78% 102.87%
408 0.19% 13.94% 28.70% 57.06% 95.58% 100.91% 104.12%
409 0.51% 22.90% 23.81% 56.60% 98.12% 94.91% 100.38%
410 0.12% 15.50% 23.86% 60.52% 95.36% 99.50% 104.63%
411 0.24% 11.00% 40.42% 53.26% 87.71% 99.72% 107.12%
412 0.19% 11.12% 27.47% 60.59% 93.79% 100.16% 106.16%
413 0.21% 8.36% 25.59% 68.80% 91.71% 99.34% 103.22%
414 0.17% 13.35% 26.92% 53.82% 99.74% 100.43% 105.88%
415 0.43% 14.32% 27.75% 55.43% 99.47% 100.07% 101.57%
416 0.16% 13.04% 21.43% 65.50% 92.27% 99.78% 105.77%
417 0.58% 13.25% 27.28% 55.07% 99.06% 100.11% 103.65%
418 0.07% 13.86% 30.89% 49.49% 99.66% 99.57% 106.06%
419 0.09% 12.85% 27.51% 53.82% 99.77% 100.15% 105.71%
420 0.28% 9.58% 29.41% 59.15% 97.37% 100.03% 103.84%
421 0.15% 13.65% 27.68% 56.29% 99.77% 99.97% 101.52%
422 0.38% 13.22% 26.12% 51.99% 99.23% 99.97% 108.01%
423 0.20% 14.20% 27.91% 55.19% 99.69% 100.34% 102.18%
424 0.70% 13.07% 31.15% 54.59% 100.78% 101.46% 103.11%
425 0.55% 12.57% 21.34% 67.43% 92.77% 98.46% 101.08%
426 0.06% 13.98% 27.51% 55.01% 99.87% 99.96% 102.91%
427 0.07% 10.37% 24.94% 63.14% 95.59% 99.55% 105.90%
428 0.06% 14.00% 28.09% 55.63% 99.10% 100.17% 102.32%
429 0.06% 14.08% 27.93% 56.24% 99.83% 100.10% 101.53%
430 0.07% 13.80% 27.83% 54.69% 100.04% 99.97% 103.55%
431 0.06% 14.34% 27.43% 56.51% 99.64% 99.68% 101.27%
432 0.10% 13.61% 28.04% 54.99% 99.44% 100.66% 103.47%
433 0.43% 13.16% 25.51% 57.77% 99.42% 100.83% 106.21%
434 0.08% 11.43% 25.56% 66.01% 92.81% 98.50% 100.59%
435 0.08% 13.67% 27.61% 55.23% 99.66% 99.64% 103.30%
436 0.15% 13.98% 28.13% 55.38% 99.56% 99.90% 100.67%
437 0.13% 13.49% 27.11% 54.71% 99.83% 100.28% 105.32%
438 0.25% 14.07% 27.76% 55.86% 99.42% 99.19% 102.12%
439 0.17% 13.34% 27.07% 54.27% 99.77% 100.50% 104.21%
440 0.20% 14.21% 27.99% 55.80% 99.73% 99.91% 102.33%
441 0.14% 11.68% 30.00% 53.70% 98.31% 99.44% 105.06%
442 0.14% 14.32% 28.15% 55.60% 99.80% 99.99% 101.56%
443 0.20% 13.80% 28.10% 56.75% 99.76% 100.12% 101.43%
444 0.16% 14.13% 28.07% 56.52% 99.72% 100.18% 100.66%
445 0.14% 13.98% 28.09% 55.12% 99.72% 100.07% 102.57%
446 0.16% 14.24% 27.54% 55.75% 99.28% 99.76% 102.40%
447 0.26% 12.76% 27.51% 56.85% 98.99% 100.41% 102.95%
448 0.23% 13.32% 21.05% 62.42% 99.43% 99.90% 103.51%
449 0.12% 13.72% 26.48% 55.66% 99.84% 99.86% 103.33%
450 0.13% 10.51% 20.27% 69.45% 90.72% 100.06% 109.00%
451 0.20% 13.59% 27.90% 54.78% 99.73% 100.32% 103.38%
452 0.46% 13.89% 25.87% 52.21% 99.44% 100.16% 106.55%
453 0.23% 13.49% 27.85% 55.52% 99.43% 98.98% 102.50%
454 0.20% 13.15% 27.43% 54.88% 99.34% 100.62% 104.58%
455 0.20% 13.39% 26.28% 53.71% 99.71% 100.48% 105.97%
456 0.32% 14.51% 28.46% 55.80% 99.09% 99.25% 100.56%
457 0.15% 15.92% 33.10% 45.61% 99.16% 99.69% 105.23%
458 0.21% 18.51% 36.31% 43.36% 97.91% 100.41% 103.99%
459 0.55% 16.46% 33.47% 44.87% 98.59% 100.47% 106.08%
460 0.05% 15.92% 31.12% 48.17% 99.31% 99.31% 103.58%
461 0.12% 14.85% 22.87% 61.30% 94.52% 99.86% 104.51%
462 0.17% 14.06% 28.07% 56.25% 99.78% 100.24% 101.37%
463 0.15% 15.93% 23.27% 63.98% 92.67% 99.47% 103.72%
464 0.16% 13.63% 27.75% 54.10% 99.53% 100.31% 102.64%
465 0.17% 13.94% 27.27% 56.02% 99.33% 99.65% 102.77%
466 0.21% 13.78% 28.18% 55.79% 99.71% 100.06% 102.02%
467 0.15% 13.85% 27.66% 54.95% 99.75% 99.87% 103.36%
468 0.19% 14.08% 27.95% 55.54% 99.55% 100.15% 101.96%
469 0.35% 14.01% 27.51% 56.03% 99.39% 100.45% 101.59%
470 0.13% 13.46% 27.89% 55.18% 98.94% 100.15% 102.91%
471 0.26% 14.03% 27.55% 55.94% 99.60% 99.43% 102.11%
472 0.33% 14.34% 28.27% 56.01% 99.73% 100.16% 101.05%
473 0.25% 14.03% 28.50% 52.64% 99.62% 99.58% 105.56%
474 0.14% 13.46% 25.98% 50.54% 99.42% 99.63% 107.94%
475 0.08% 13.50% 28.37% 56.42% 99.75% 100.55% 102.00%
476 0.07% 12.55% 24.43% 50.15% 99.20% 99.65% 112.20%
^C
