time cpu-1-0 cpu-1-32 cpu-1-64 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
38 0.19% 13.06% 27.30% 54.90% 99.21% 99.52% 103.30%
39 0.15% 14.54% 27.77% 55.53% 99.43% 99.85% 103.71%
40 0.47% 13.21% 27.35% 54.82% 98.41% 99.83% 102.57%
41 0.16% 14.05% 24.31% 54.73% 98.55% 100.16% 108.24%
42 0.22% 17.94% 36.12% 44.10% 90.81% 100.62% 109.30%
43 0.24% 14.84% 20.31% 60.05% 97.36% 99.02% 101.56%
44 0.13% 14.26% 27.12% 55.71% 95.40% 99.76% 106.31%
45 0.08% 12.86% 28.09% 57.53% 99.11% 100.80% 103.69%
46 0.14% 13.97% 27.65% 55.21% 99.26% 99.29% 103.50%
47 0.37% 13.34% 31.00% 53.72% 96.46% 100.08% 102.63%
48 0.09% 11.16% 39.54% 62.33% 86.32% 100.30% 100.39%
49 0.17% 11.34% 31.80% 61.63% 93.78% 99.28% 100.76%
50 0.10% 14.63% 28.09% 57.27% 93.05% 100.13% 105.86%
51 0.13% 14.19% 28.71% 57.23% 94.23% 100.08% 104.74%
52 0.22% 14.23% 28.95% 56.61% 92.86% 100.27% 106.36%
53 0.26% 14.58% 28.96% 56.51% 96.86% 99.33% 101.97%
54 0.21% 14.22% 28.58% 57.54% 94.24% 99.91% 104.62%
55 0.16% 14.10% 28.20% 57.22% 94.01% 100.73% 105.21%
56 0.16% 14.81% 28.16% 57.02% 93.74% 99.37% 105.71%
57 0.07% 13.69% 29.20% 57.12% 95.88% 100.23% 103.92%
58 0.13% 14.49% 28.23% 57.33% 97.08% 99.83% 102.41%
59 0.12% 14.02% 29.00% 57.16% 96.75% 100.15% 102.62%
60 0.16% 14.53% 28.34% 56.83% 96.79% 100.31% 102.54%
61 0.18% 14.72% 28.40% 56.87% 96.18% 99.16% 103.22%
62 0.11% 13.53% 28.90% 57.57% 96.64% 100.28% 103.04%
63 0.11% 14.73% 27.96% 57.29% 93.85% 100.20% 105.84%
64 0.16% 14.51% 29.12% 56.71% 98.17% 99.81% 101.26%
65 0.13% 13.78% 28.25% 57.69% 95.73% 99.64% 103.81%
66 0.19% 14.05% 28.65% 57.21% 97.50% 100.14% 101.53%
67 0.17% 14.79% 28.71% 56.49% 97.17% 100.52% 101.89%
68 0.27% 13.96% 28.54% 57.52% 97.75% 99.32% 101.59%
69 0.07% 14.06% 28.75% 57.16% 97.68% 100.66% 101.90%
70 0.47% 14.62% 28.42% 56.94% 97.91% 99.58% 101.42%
71 0.05% 14.70% 28.59% 56.70% 95.84% 99.99% 103.76%
72 0.05% 13.99% 28.67% 57.38% 96.89% 99.96% 102.82%
73 0.05% 14.12% 28.05% 57.75% 98.40% 99.80% 101.35%
74 0.06% 14.44% 28.97% 56.58% 95.72% 100.00% 103.90%
75 0.11% 14.47% 28.81% 56.68% 97.36% 100.54% 102.37%
76 0.26% 14.43% 27.75% 57.82% 97.42% 99.45% 101.62%
77 0.06% 14.16% 28.61% 57.20% 94.19% 99.98% 105.58%
78 0.09% 13.67% 29.05% 57.23% 96.76% 100.04% 102.52%
79 0.13% 15.13% 28.31% 56.59% 96.57% 99.92% 103.07%
80 0.31% 13.98% 29.08% 56.93% 95.99% 99.39% 103.23%
81 0.11% 13.44% 26.90% 55.33% 95.92% 99.92% 105.42%
82 0.14% 13.72% 28.28% 55.64% 99.53% 100.75% 101.97%
83 0.25% 13.99% 27.25% 54.48% 99.84% 99.22% 103.63%
84 0.15% 13.40% 27.23% 54.94% 100.39% 99.95% 103.69%
85 0.15% 13.69% 27.57% 54.76% 99.52% 100.21% 103.28%
86 0.10% 13.88% 27.03% 54.29% 100.00% 100.36% 104.58%
87 0.20% 12.99% 25.84% 52.30% 99.97% 99.41% 108.30%
88 0.16% 11.80% 28.55% 56.91% 99.30% 100.40% 103.98%
89 0.20% 13.36% 27.73% 54.95% 99.08% 99.59% 103.05%
90 0.15% 13.51% 27.40% 54.75% 100.91% 100.97% 103.76%
91 0.10% 14.59% 27.04% 55.17% 99.51% 99.27% 102.39%
92 0.27% 13.18% 28.04% 55.52% 99.96% 100.19% 102.47%
93 0.24% 13.74% 27.51% 55.23% 99.88% 100.36% 102.47%
94 0.63% 14.02% 27.76% 55.71% 100.08% 99.34% 101.58%
95 0.23% 13.86% 27.17% 53.58% 99.80% 100.09% 104.25%
96 0.14% 13.30% 27.22% 54.86% 100.20% 99.98% 104.01%
97 0.18% 13.55% 27.39% 54.95% 99.54% 99.98% 103.32%
98 0.11% 13.43% 26.65% 53.40% 99.89% 100.24% 105.93%
99 0.21% 14.03% 27.99% 54.78% 100.35% 99.41% 102.21%
100 0.19% 13.88% 26.84% 54.47% 99.89% 99.97% 104.57%
101 0.24% 13.43% 27.63% 54.78% 99.73% 100.01% 103.16%
102 0.23% 13.67% 28.03% 55.90% 100.30% 100.00% 101.34%
103 0.26% 13.96% 27.42% 55.60% 100.22% 99.96% 101.79%
104 0.31% 13.41% 26.93% 53.62% 99.85% 100.04% 106.29%
105 0.13% 13.46% 27.95% 55.81% 98.09% 100.15% 103.52%
106 0.17% 9.78% 32.76% 59.17% 94.95% 100.76% 104.65%
107 0.50% 13.15% 25.59% 59.68% 95.83% 99.27% 102.58%
108 0.27% 16.38% 38.37% 47.88% 98.46% 99.91% 98.26%
109 0.21% 13.82% 28.75% 53.83% 99.93% 100.46% 103.82%
110 0.24% 13.88% 27.38% 54.25% 100.66% 100.24% 104.64%
111 0.50% 13.15% 26.62% 54.43% 99.23% 99.05% 104.01%
112 0.17% 13.94% 27.17% 53.28% 100.16% 99.95% 105.30%
113 0.12% 13.23% 26.92% 53.89% 99.35% 100.05% 105.26%
114 0.25% 13.73% 28.06% 55.39% 100.48% 100.08% 102.03%
115 0.17% 13.38% 26.72% 54.93% 100.32% 100.80% 103.53%
116 0.14% 13.91% 28.31% 55.38% 98.96% 99.87% 100.94%
117 0.28% 13.62% 26.40% 53.63% 100.01% 99.64% 104.31%
118 0.20% 13.13% 26.66% 53.22% 99.76% 100.04% 106.59%
119 0.40% 12.16% 26.80% 53.56% 99.23% 100.40% 107.87%
120 0.22% 11.81% 36.30% 50.25% 93.51% 99.17% 105.79%
121 0.17% 12.78% 27.77% 54.96% 99.29% 99.94% 103.72%
122 0.17% 13.75% 27.26% 54.37% 99.99% 100.42% 104.43%
123 0.22% 13.50% 27.58% 53.92% 100.00% 99.58% 103.75%
124 0.13% 13.99% 27.63% 56.45% 100.48% 100.08% 101.84%
125 0.12% 13.74% 27.31% 54.83% 99.46% 99.68% 103.06%
126 0.14% 13.91% 27.47% 54.37% 100.95% 100.89% 104.57%
127 0.20% 11.31% 29.99% 54.17% 97.35% 99.03% 105.16%
128 0.13% 15.42% 32.44% 49.88% 100.15% 100.46% 101.90%
129 0.26% 14.09% 27.48% 54.63% 100.33% 100.18% 103.30%
130 0.14% 13.44% 27.56% 55.06% 99.29% 99.70% 102.61%
131 0.13% 12.83% 27.42% 54.80% 99.64% 99.98% 104.78%
132 0.19% 12.58% 27.27% 54.75% 100.27% 100.12% 104.66%
133 0.36% 12.99% 27.61% 54.38% 99.30% 99.72% 104.00%
134 0.28% 9.48% 20.55% 71.71% 91.67% 99.87% 106.10%
135 0.16% 13.73% 27.39% 56.43% 100.23% 99.65% 101.86%
136 0.17% 13.95% 27.91% 55.65% 99.82% 99.99% 101.24%
137 0.22% 12.18% 28.74% 56.41% 98.16% 100.56% 103.61%
138 0.13% 10.93% 24.11% 56.13% 98.98% 99.15% 107.90%
139 0.24% 13.02% 28.25% 55.10% 98.01% 101.25% 105.68%
140 0.84% 9.00% 32.36% 55.04% 88.85% 98.94% 110.94%
141 0.73% 9.20% 77.07% 31.66% 70.95% 94.38% 110.60%
142 0.23% 30.80% 61.84% 32.89% 67.82% 92.14% 110.99%
143 0.27% 23.21% 41.96% 62.40% 71.45% 92.61% 106.97%
144 0.27% 14.32% 28.82% 56.38% 99.57% 90.24% 108.67%
145 0.28% 23.84% 30.71% 51.07% 85.18% 99.60% 107.97%
146 0.15% 12.67% 23.96% 66.55% 93.15% 99.75% 104.72%
147 0.30% 10.22% 29.02% 58.92% 91.07% 99.55% 109.92%
148 0.13% 10.99% 30.38% 60.43% 95.45% 99.73% 102.23%
149 0.25% 13.74% 26.46% 53.36% 99.53% 99.63% 106.10%
150 0.18% 9.26% 21.46% 69.86% 85.92% 99.75% 112.46%
151 0.29% 11.90% 32.32% 63.70% 88.23% 99.78% 103.94%
152 0.22% 13.35% 27.30% 55.18% 99.34% 99.69% 104.18%
153 0.21% 11.88% 28.06% 57.06% 99.61% 99.70% 103.67%
154 0.27% 13.84% 28.55% 55.40% 99.67% 99.56% 101.81%
155 0.25% 13.88% 26.51% 54.54% 98.25% 99.68% 104.56%
156 0.23% 13.82% 28.43% 56.18% 100.12% 99.57% 101.15%
157 0.14% 13.50% 26.59% 52.41% 100.02% 99.46% 106.82%
158 0.18% 14.27% 27.82% 56.39% 99.85% 99.70% 101.33%
159 0.40% 13.29% 28.33% 56.03% 100.39% 99.93% 101.44%
160 0.40% 14.12% 27.03% 54.37% 100.54% 99.90% 104.72%
161 0.03% 13.19% 25.79% 52.16% 99.28% 98.88% 106.95%
162 0.19% 9.97% 27.55% 59.77% 98.57% 99.53% 103.10%
163 0.72% 10.57% 28.36% 58.05% 102.19% 100.54% 106.11%
164 1.22% 11.32% 24.64% 60.37% 95.32% 97.26% 99.59%
165 0.22% 13.86% 26.55% 53.00% 100.65% 99.60% 105.33%
166 0.62% 12.46% 27.59% 51.40% 98.50% 96.99% 105.54%
167 0.14% 9.11% 31.56% 58.14% 94.67% 99.80% 106.51%
168 0.26% 13.65% 27.42% 56.51% 99.86% 99.32% 102.54%
169 0.16% 9.65% 32.05% 55.52% 99.18% 99.32% 105.22%
170 0.58% 12.14% 29.56% 56.44% 98.58% 98.44% 99.63%
171 0.26% 13.22% 27.08% 55.41% 99.06% 100.14% 104.61%
172 0.37% 13.09% 26.17% 51.94% 99.91% 99.56% 106.65%
173 0.28% 13.65% 27.53% 54.29% 99.57% 99.72% 103.41%
174 0.21% 14.38% 28.35% 55.91% 99.25% 99.84% 101.98%
175 0.19% 12.74% 21.57% 63.88% 99.06% 99.67% 102.04%
176 0.19% 13.43% 27.32% 54.40% 99.68% 99.95% 104.24%
177 0.30% 14.20% 27.61% 54.75% 99.41% 99.71% 102.36%
178 0.20% 13.98% 27.68% 55.54% 99.55% 99.93% 102.48%
179 0.22% 13.39% 27.85% 55.97% 99.31% 99.73% 102.15%
180 0.24% 13.84% 27.69% 55.08% 99.76% 99.78% 103.10%
181 0.16% 11.67% 28.22% 56.96% 98.72% 99.89% 104.53%
182 0.21% 13.65% 28.00% 54.92% 99.75% 99.71% 102.98%
183 0.13% 13.62% 26.90% 54.81% 99.81% 99.48% 104.11%
184 0.19% 13.84% 27.16% 53.81% 99.70% 100.22% 105.13%
185 0.18% 13.91% 28.01% 56.14% 99.89% 100.62% 101.73%
186 0.15% 13.23% 27.28% 53.87% 99.47% 99.33% 104.73%
187 0.25% 14.00% 27.49% 55.27% 99.69% 99.96% 102.35%
188 0.25% 13.83% 27.40% 55.85% 98.00% 99.99% 102.55%
189 0.10% 14.27% 28.02% 55.83% 100.46% 100.04% 101.85%
190 0.20% 13.33% 27.31% 53.91% 99.60% 100.19% 105.14%
191 0.47% 13.62% 27.25% 54.62% 99.73% 99.87% 103.27%
192 0.19% 14.70% 27.98% 55.40% 99.80% 99.74% 101.38%
193 0.41% 12.83% 26.41% 53.75% 99.54% 100.70% 106.89%
194 0.24% 13.33% 27.19% 54.57% 99.64% 99.62% 103.59%
195 0.18% 14.13% 27.59% 55.46% 99.53% 99.60% 103.00%
196 0.13% 13.58% 27.52% 55.52% 99.78% 100.56% 102.63%
197 0.16% 13.67% 27.51% 54.13% 99.55% 99.32% 104.88%
198 0.15% 14.19% 27.32% 54.29% 99.96% 101.18% 105.05%
199 0.15% 10.43% 27.72% 55.41% 96.22% 98.74% 106.72%
200 0.12% 12.82% 28.71% 56.14% 99.53% 100.09% 101.99%
201 0.13% 13.81% 26.64% 54.81% 99.61% 99.99% 104.74%
202 0.32% 14.08% 27.88% 55.51% 99.89% 100.92% 103.08%
203 0.15% 13.43% 27.82% 55.82% 99.29% 98.97% 101.52%
204 0.20% 13.64% 27.74% 54.94% 99.87% 100.80% 103.22%
205 0.67% 14.70% 27.65% 56.45% 100.59% 100.16% 102.50%
206 0.34% 13.19% 27.85% 55.09% 98.38% 99.34% 101.25%
207 0.21% 14.06% 27.95% 55.13% 99.67% 99.89% 102.74%
208 0.21% 13.52% 29.25% 52.37% 99.38% 99.72% 103.90%
209 0.25% 13.61% 27.27% 54.72% 99.71% 99.71% 104.21%
210 0.31% 13.17% 27.64% 54.72% 99.67% 99.79% 103.74%
211 0.20% 13.58% 26.69% 53.83% 99.81% 99.37% 105.32%
212 0.23% 14.12% 27.87% 55.59% 99.55% 101.15% 102.29%
213 0.20% 13.71% 26.74% 54.36% 99.66% 100.72% 104.30%
214 0.14% 13.84% 28.71% 56.33% 98.91% 98.67% 100.08%
215 0.21% 12.92% 25.85% 52.81% 99.71% 100.38% 107.71%
216 0.14% 13.91% 27.47% 54.22% 99.06% 100.30% 103.49%
217 0.14% 13.65% 27.77% 54.77% 99.64% 99.45% 103.38%
218 0.18% 14.32% 27.03% 55.24% 99.70% 99.85% 102.61%
219 0.20% 13.18% 26.50% 53.26% 99.66% 100.71% 107.36%
220 0.19% 13.14% 27.54% 54.53% 99.64% 99.36% 103.85%
221 0.14% 13.18% 26.57% 53.20% 99.76% 100.40% 107.44%
222 0.21% 11.00% 31.23% 61.89% 88.97% 100.14% 106.02%
